Title,Author,Edition,Reviews,Ratings,Synopsis,Genre,BookCategory,Price
Disclosure,Michael Crichton,"Mass Market Paperback,– 1 Sep 1994",4.0,5,"The thriller that opened a new chapter in the sex wars ...

Thomas Sanders' world collapses in just 24 hours - he is passed over for promotion, his new woman boss comes on to him during a drink after work, then, the next morning, he learns that she has accused him of sexually harassing her. She demands his transfer, thereby threatening to cut him off from the millions he would have made when his high-tech company was floated on the stock market.
What follow next made Disclosure the most talked about novel of the decade.",Action & Adventure (Books),Action & Adventure,260
Modern Labor Economics: Theory and Public Policy (The Addison-Wesley Series in Economics),Ronald G. Ehrenberg,"Hardcover,– Import, 27 Oct 1999",4.0,1,"Comprehensively surveying the field of labor economics, this market-leading textbook showcases both current and classic research. The authors develop the modern theory of labor market behavior, summarize empirical evidence that supports or contradicts each hypothesis, and illustrate the usefulness of various theories for public policy analysis. In addition to the policyexamples woven throughout the narrative, the text offers two or more boxed examples per chapter that illustrate the application of theory in a nontraditional, business, historical, or cross-cultural context. The Seventh Edition provides updated coverage and updated references to the professional literature throughout, as well as many new boxed policy examples and new end-of-chapter numerical problems. An all-new companion Web Site rounds out the teaching and learning resources of the supplements program.",Labor & Industrial Relations,Politics,13244.67
What If I Had Never Tried It: The Autobiography,Valentino Rossi,"Hardcover,– Import, 27 Sep 2005",3.8,9,The life story of the world’s greatest motorcycle rider — five-time-winner of the World Championships and one of the superstars of the sporting world — his post race antics and cheeky personality have won him as many fans as his on-track prowess.,Biographies & Autobiographies (Books),Sports,2056
Jaane Bhi Do Yaaron : Seriously Funny Since1983,Jai Arjun Singh,"Paperback,– 28 Dec 2010",3.9,12,"In the 1980s, an unheralded Hindi movie, made on a budget of less than Rs 7 lakh, went from a quiet showing at the box office to developing a reputation as India's definitive black comedy. Some of the country's finest theatre and film talents - all at key stages in their careers - participated in its creation, but the journey was anything but smooth. Among other things, it involved bumping off disco killers and talking gorillas, finding air-conditioned rooms for dead rats, persuading a respected actor to stop sulking and eat his meals, and resisting the temptation to introduce logic into a madcap script. In the end, it was worth it. Kundan Shah's Jaane Bhi Do Yaaro is now a byword for the sort of absurdist, satirical humours that Hindi cinema just hasn't seen enough of. This is the story of how it came to be despite incredible odds - and what it might have been. Jai Arjun Singh's take on the making of the film and its cult following is as entertaining as the film itself.",Cinema & Broadcast (Books),"Arts, Film & Photography",224
Bone Marrow Nei Kung: Taoist Techniques for Rejuvenating the Blood and Bone,Mantak Chia,"Paperback,– 25 Oct 2006",4.6,2,"A guide to nourishing the body through bone marrow rejuvenation exercises

• Presents exercises to “regrow” bone marrow, revive the internal organs, and prevent osteoporosis

• Explains the use of bone breathing and bone compression, “hitting” to detoxify the body, and sexual energy massage and chi weight lifting to enhance the life force within

Most Westerners believe that a daily physical exercise program helps slow the aging process. Yet those whose bodies appear most physically fit on the outside often enjoy only the same life span as the average nonathletic person. It is the internal organs and glands that nourish every function of the body, and it is the bone marrow that nourishes and rejuvenates the organs and glands through the production of blood. By focusing only on the muscles without cultivating the internal organs, bones, and blood, the Western fitness regimen can ultimately exhaust the internal system.

In Bone Marrow Nei Kung Master Mantak Chia reveals the ancient mental and physical Taoist techniques used to “regrow” bone marrow, strengthen the bones, and rejuvenate the organs and glands. An advanced practice of Iron Shirt Chi Kung, Bone Marrow Nei Kung was developed as a way to attain the “steel body” coveted in the fields of Chinese medicine and martial arts. This method of absorbing energy into the bones revives the bone marrow and reverses the effects of aging through the techniques of bone breathing, bone compression, and sexual energy massage, which stimulates the hormonal production that helps prevent osteoporosis. Also included is extensive information on chi weight lifting and the practice of “hitting” to detoxify the body.",Martial Arts (Books),Sports,338
Dissenting Diagnosis,"Arun Gadre, Abhay Shukla","Paperback,– 17 May 2016",4.2,99,"Complaints about the state of medical care are increasing in today’s India; whether it’s unnecessary investigations, botched operations or expensive, sometimes even harmful, medication. But while the unease is widespread, few outside the profession understand the extent to which the medical system is being distorted. Dr Arun Gadre and Dr Abhay Shukla have gathered evidence from seventy-eight practising doctors, in both the private and public medical sectors, to expose the ways in which vulnerable patients are exploited by a system that promotes unscrupulous medical practices.
At a time when the medical sector is growing rapidly, especially in urban areas, with the proliferation of multi-specialty hospitals and the adoption of ever-more sophisticated technologies, rational and ethical medical care is becoming increasingly rare. Honest doctors feel under siege, professional bodies meant to regulate the medical sector fail to do so, and the influence of the powerful pharmaceutical industry becomes even more pervasive.
Drawing on the frank and courageous statements of these seventy-eight doctors dismayed at the state of their profession, Dissenting Diagnosis lays bare the corruption afflicting the medical sector in India and sets out solutions for a healthier future.",Alternative Medicine (Books),"Biographies, Diaries & True Accounts",227
Dawn of the New Everything: A Journey Through Virtual Reality,Jaron Lanier,"Paperback,– Import, 6 Sep 2018",4.0,1,"Named a Best Book of the Year by the Economist, Wall Street Journal & Vox

‘The father of virtual reality’ (Sunday Times) explains why virtual reality presents the ultimate test for humanity.

‘Essential reading, not just for VR-watchers but for anyone interested in how society came to be how it is, and what it might yet become’ Economist

Welcome to a mind-expanding, life-enhancing, world-changing adventure.

Virtual reality has long been one of the dominant clichés of science fiction. Now virtual reality is a reality: from the startling beauty of lifelike video games to the place where war veterans overcome PTSD, surgeries are trialled, and aircraft and cities are designed. VR is, in fact now, the most effective device ever invented for researching what a human being actually is – and how we think and feel.

More than thirty years ago, legendary computer scientist, visionary and artist Jaron Lanier pioneered its invention. Here he blends scientific investigation, philosophical thought experiment and his memoir of a life lived at the centre of digital innovation to explain what VR really is: the science of comprehensive illusion; the extension of the intimate magic of earliest childhood into adulthood; a hint of what life would be like without any limits.

We are standing on the threshold of an entirely new realm of human creativity, expression, communication and experience, and as we use VR to test our relationship with reality, it may test us in return.

‘Vivid and absolutely extraordinary’ Evening Standard",Action & Adventure (Books),Action & Adventure,349
Mcgraw - Hill's Ielts with Audio Cd,Monica Sorrenson,"Paperback,– 1 Jul 2012",2.9,10,"The authoritative preparation guide to help you conquer the IELTS
The International English Language Testing System (IELTS) is a paper-based test that consists of four modules―Listening, Reading, Writing, and Speaking. Question types include multiple choice, sentence completion, short answer, classification, matching, labeling, and diagram/chart interpretation. Created by ESL experts at Cambridge University in the UK, the IELTS English proficiency exam is used worldwide for admission to English-speaking colleges and universities.
We’ve put all of our proven expertise intoMcGraw-Hill Education: IELTS to make sureyou’re ready for this crucial test. Whether you’retaking the exam to qualify for entry to an Englishlanguageuniversity, for immigration, or foremployment in a government agency or multinationalcorporation that uses English, this bookgives you essential skill-building techniques andstrategies you need to achieve your desired score.You’ll get five practice tests, skill-building drills,test-taking strategies, and all the facts aboutthe current exam. With McGraw-Hill Education:IELTS, we’ll guide you step by step through yourpreparation program―and give you the tools youneed to succeed.
Inside you’ll find
5 practice tests (4 Academic Tests, 1 General Training Test)
Skill-building drills with hundreds of practice questions
Strategies to help you master every question type
Review of all subjects featured on the exam
CD-ROM with 70-minutes of audio recordings for listening exercises and practice tests
About the Author
Monica Sorrenson has been an IELTS examinersince 2001 in China, Australia, Syria, Ukraine, and Oman.She has also taught in the United Kingdom, New Zealand,Indonesia, Sudan, and Russia. She has qualifications fromthe University of New South Wales, Sydney.",FPC,"Language, Linguistics & Writing",921
Art of Perspective: The Ultimate Guide for Artists in Every Medium,Phil Metzger,"Paperback,– 24 Aug 2007",5.0,1,"The ultimate guide for artists in every medium. Every artist needs to know how to create the illusion of depth and distance. Packed with specific tips and instruction for several different mediums including acrylic, oil, watercolor and graphite Teaches essential perspective techniques through easy step-by-step demonstrations and exercises Starts simple and moves on to complex scenes and challenges such as stairways, curves, and non-rectangular objects Most books that cover perspective thoroughly are difficult to navigate. This book provides comprehensive and friendly instruction within a user-friendly North Light design","Arts History, Theory & Criticism (Books)","Arts, Film & Photography",399
Attachments,Rainbow Rowell,"Paperback,– 2 Feb 2012",4.2,20,"A heartwarming and hilarious romantic debut about falling in love from afar.
It's 1999 and for the staff of one newspaper office, the internet is still a novelty. By day, two young women, Beth and Jennifer, spend their hours emailing each other, discussing in hilarious detail every aspect of their lives, from love troubles to family dramas. And by night, Lincoln, a shy, lonely IT guy spends his hours reading every exchange.
At first their emails offer a welcome diversion, but as Lincoln unwittingly becomes drawn into their lives, the more he reads, the more he finds himself falling for one of them. By the time Lincoln realizes just how head-over-heels he really is, it's way too late to introduce himself. What would he say to her? 'Hi, I'm the guy who reads your e-mails - and also, I think I love you'.
After a series of close encounters, Lincoln decides it's time to muster the courage to follow his heart, and find out whether there really is such a thing as love before first-sight.",Contemporary Fiction (Books),Humour,243
Python Machine Learning By Example,Yuxi (Hayden) Liu,"Paperback,– Import, 31 May 2017",4.3,26,"Take tiny steps to enter the big world of data science through this interesting guide About This Book * Learn the fundamentals of machine learning and build your own intelligent applications * Master the art of building your own machine learning systems with this example-based practical guide * Work with important classification and regression algorithms and other machine learning techniques Who This Book Is For This book is for anyone interested in entering the data science stream with machine learning. Basic familiarity with Python is assumed. What You Will Learn * Exploit the power of Python to handle data extraction, manipulation, and exploration techniques * Use Python to visualize data spread across multiple dimensions and extract useful features * Dive deep into the world of analytics to predict situations correctly * Implement machine learning classification and regression algorithms from scratch in Python * Be amazed to see the algorithms in action * Evaluate the performance of a machine learning model and optimize it * Solve interesting real-world problems using machine learning and Python as the journey unfolds In Detail Data science and machine learning are some of the top buzzwords in the technical world today. A resurging interest in machine learning is due to the same factors that have made data mining and Bayesian analysis more popular than ever. This book is your entry point to machine learning. This book starts with an introduction to machine learning and the Python language and shows you how to complete the setup. Moving ahead, you will learn all the important concepts such as, exploratory data analysis, data preprocessing, feature extraction, data visualization and clustering, classification, regression and model performance evaluation. With the help of various projects included, you will find it intriguing to acquire the mechanics of several important machine learning algorithms - they are no more obscure as they thought. Also, you will be guided step by step to build your own models from scratch. Toward the end, you will gather a broad picture of the machine learning ecosystem and best practices of applying machine learning techniques. Through this book, you will learn to tackle data-driven problems and implement your solutions with the powerful yet simple language, Python. Interesting and easy-to-follow examples, to name some, news topic classification, spam email detection, online ad click-through prediction, stock prices forecast, will keep you glued till you reach your goal. Style and approach This book is an enticing journey that starts from the very basics and gradually picks up pace as the story unfolds. Each concept is first succinctly defined in the larger context of things, followed by a detailed explanation of their application. Every concept is explained with the help of a project that solves a real-world problem, and involves hands-on work-giving you a deep insight into the world of machine learning. With simple yet rich language-Python-you will understand and be able to implement the examples with ease.",Python Programming,"Computing, Internet & Digital Media",2798
Marvel Comic: The Untold Story,Sean Howe,"Hardcover,– 9 Oct 2012",3.0,1,"The defining, behind-the-scenes chronicle of one of the most extraordinary, beloved, and dominant pop cultural entities in America’s history -- Marvel Comics – and the outsized personalities who made Marvel including Martin Goodman, Stan Lee, and Jack Kirby.  
“Sean Howe’s history of Marvel makes a compulsively readable, riotous and heartbreaking version of my favorite story, that of how a bunch of weirdoes changed the world…That it’s all true is just frosting on the cake.”
—Jonathan Lethem
For the first time, Marvel Comics tells the stories of the men who made Marvel: Martin Goodman, the self-made publisher who forayed into comics after a get-rich-quick tip in 1939, Stan Lee, the energetic editor who would shepherd the company through thick and thin for decades and Jack Kirby, the WWII veteran who would co-create Captain America in 1940 and, twenty years later, developed with Lee the bulk of the company’s marquee characters in a three-year frenzy. Incorporating more than one hundred original interviews with those who worked behind the scenes at Marvel over a seventy-year-span, Marvel Comics packs anecdotes and analysis into a gripping narrative of how a small group of people on the cusp of failure created one of the most enduring pop cultural forces in contemporary America.",Economic History,"Arts, Film & Photography",682
Fight Club 2 (Graphic Novel),Chuck Palahniuk,"Hardcover,– 10 Aug 2016",3.4,3,"Some imaginary friends never go away...

Ten years after starting Project Mayhem, he lives a mundane life. A kid, a wife. Pills to keep his destiny at bay. But it won't last long, the wife has seen to that. He's back where he started, but this go-round he's got more at stake than his own life. The time has arrived... Rize or Die.",Literature & Fiction (Books),Comics & Mangas,1899
Alex Rider 11: Never Say Die,Anthony Horowitz,"Paperback,– Jul 2018",4.5,17,"Alex Rider is back in this brand new, explosive mission in the number one bestselling series.
In this brand new, explosive adventure in the number one bestselling series, Alex Rider is trying to get his life back on track after
the traumatic events of his last mission. But even Alex can’t fight the past … especially when it holds a deadly secret.",Action & Adventure (Books),Action & Adventure,299
The Elements of Style (Dover Language Guides),William Strunk Jr.,"Paperback,– 26 May 2006",3.5,2,"The original edition of the most trusted writer's guide to American English, this is the book that generations of writers have relied upon for timeless advice on grammar, diction, syntax, sentence construction, and other writing essentials. In brief and concise terms, author William Strunk, Jr., identifies the principal requirements of proper American English style and concentrates on the most often violated rules of composition.
Originally published in 1918, this authoritative and engagingly written manual retains its immediacy and relevance. Strunk begins with the basic rules of usage, offering accessible explanations of correct punctuation and grammar. His advice on the principles of composition cites concrete examples of how to maintain clarity by eliminating redundancy and unnecessary embellishment. In addition, Strunk provides valuable pointers on avoiding common errors in the usage of words and expressions, and in spelling. The greatest book of its kind, this volume is a must for any student or writer.",Rhetoric & Speech (Books),"Language, Linguistics & Writing",130
Optimism Over Despair,"Noam, Polychroniou, C J Chomsky","Paperback,– 23 Aug 2017",3.3,4,"We have two choices. We can be pessimistic, give up and help ensure that the worst will happen. Or we can be optimistic, grasp the opportunities that surely exist and maybe help make the world a better place. Not much of a choice.

Another essential work from a peerless political thinker, exploring the rise of neoliberalism, the refugee crisis in Europe, the Black Lives Matter movement, the dysfunctional US electoral system and the prospects and challenges of building a movement for radical change. Including four up-to-the-minute interviews on the 2016 American election campaign and global resistance to Trump, this Penguin Special is a concise introduction to Chomsky's ideas and his take on the state of the world today.",International Relations,Politics,224
Fundamental Chess Endings: A New One-volume Endgame Encyclopaedia for the 21st Century,Frank Lamprecht,"Paperback,– 12 Oct 2001",5.0,2,"In a major event in chess publishing, two German endgame experts have produced a masterly one-volume encyclopaedia that covers all major endgames.

This is the first truly modern one-volume endgame encyclopaedia. It makes full use of endgame tablebases and analytical engines that access these tablebases; where previous authors could only make educated guesses, Müller and Lamprecht have often been able to state the definitive truth, or get much closer to it.

New time-controls involve competitive games being played to a finish in one session, so it is especially important that chess-players understand the key endgame principles. This book provides comprehensive assistance for any players wishing to study the endgame. In addition to a feast of detailed analysis, the authors emphasize the practical side of endgame play, describing rules of thumb, principles, and thinking methods.

Fundamental Chess Endings is both the ideal endgame reference work, and a book that can profitably and enjoyably be read from start to finish.",Games & Quizzes (Books),Humour,1846
The Curse of Mohenjodaro,Maha Khan Phillips,"Paperback,– 11 Jan 2017",4.0,37,"2016 AD. When footage of a team of archaeologists bursting into flames at the ancient site of Mohenjodaro goes viral, the world is horrified and shaken. While authorities suspect it to be an incendiary terrorist attack, Nadia Osbourne determines to find her archaeologist sister, Layla, convinced that she has survived. Her frantic search takes her to the ruins and forces her to confront her own demons – her inexplicable dreams about a woman named Jaya.
3800 BC. The city of Meluhha is on the brink of a revolution and Iaf and his coterie of corrupt priests will do anything to maintain their power. Jaya is the only one who can read the Bloodstone, the heart of the Goddess Shakari and divine the future. But with her daughter under Iaf’s control, will Jaya be able to prevent what is to come?
Inspired by the legends surrounding the lost Indus Valley city, the Curse of Mohenjodaro is a gripping thriller about a powerful relic, a sinister cult and family secrets that haunt generations.","Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery",311
Dracula (Wordsworth Classics),"Bram Stoker, Dr. David Rogers, Dr. Keith Carabine","Paperback,– 5 Apr 1993",5.0,1,"Introduction and Notes by Dr David Rogers, Kingston University. 'There he lay looking as if youth had been half-renewed, for the white hair and moustache were changed to dark iron-grey, the cheeks were fuller, and the white skin seemed ruby-red underneath; the mouth was redder than ever, for on the lips were gouts of fresh blood, which trickled from the corners of the mouth and ran over the chin and neck. Even the deep, burning eyes seemed set amongst the swollen flesh, for the lids and pouches underneath were bloated. It seemed as if the whole awful creature were simply gorged with blood; he lay like a filthy leech, exhausted with his repletion.' Thus Bram Stoker, one of the greatest exponents of the supernatural narrative, describes the demonic subject of his chilling masterpiece Dracula, a truly iconic and unsettling tale of vampirism.",Horror (Books),"Crime, Thriller & Mystery",199
Concurrency in Go: Tools and Techniques for Developers,Katherine Cox-Buday,"Paperback,– 2017",4.6,3,"Concurrency can be notoriously difficult to get right, but fortunately, the Go open source programming language makes working with concurrency tractable and even easy. If youíre a developer familiar with Go, this practical book demonstrates best practices and patterns to help you incorporate concurrency into your systems.
Author Katherine Cox-Buday takes you step-by-step through the process. Youíll understand how Go chooses to model concurrency, what issues arise from this model and how you can compose primitives within this model to solve problems. Learn the skills and tooling you need to confidently write and implement concurrent systems of any size.

Understand how Go addresses fundamental problems that make concurrency difficult to do correctly
Learn the key differences between concurrency and parallelism
Dig into the syntax of Goís memory synchronization primitives
Form patterns with these primitives to write maintainable concurrent code
Compose patterns into a series of practices that enable you to write large, distributed systems that scale
Learn the sophistication behind goroutines and how Goís runtime stitches everything together",Programming & Software Development (Books),"Computing, Internet & Digital Media",625
Streaming Architecture: New Designs Using Apache Kafka and MapR Streams,Ted Dunning,"Paperback,– 2017",3.0,1,"More and more data-driven companies are looking to adopt stream processing and streaming analytics. with this concise ebook, youíll learn best practices for designing a reliable architecture that supports this emerging big-data paradigm.
Authors Ted Dunning and Ellen Friedman (Real World Hadoop) help you explore some of the best technologies to handle stream processing and analytics, with a focus on the upstream queuing or message-passing layer. To illustrate the effectiveness of these technologies, this book also includes specific use cases.
Ideal for developers and non-technical people alike, this book describes:

Key elements in good design for streaming analytics, focusing on the essential characteristics of the messaging layer
New messaging technologies, including Apache Kafka and MapR Streams, with links to sample code
Technology choices for streaming analytics: Apache Spark Streaming, Apache Flink, Apache Storm and Apache Apex
How stream-based architectures are helpful to support microservices
Specific use cases such as fraud detection and geo-distributed data streams",Computer Databases (Books),"Computing, Internet & Digital Media",350
The Lost Symbol (Robert Langdon),Dan Brown,"Paperback,– 22 Jul 2010",4.4,403,"The Lost Symbol (Robert Langdon) is written by Dan Brown. The story is about a man named Robert Langdon, who thinks that he had been invited to give a lecture in the Capitol Building, Washington DC. Later he realised that the invitation is a gruesome invitation into an ancient world of hidden wisdom. When Langdon's mentor, Peter Solomon - prominent mason and philanthropist - is kidnapped, Langdon realizes that his only hope of saving his friend's life is to accept this mysterious summons.
It takes him on a breathless chase through Washington's dark history. All that was familiar is changed into a shadowy, mythical world in which Masonic secrets and never-before-seen revelations seem to be leading him to a single impossible and inconceivable truth. What had happened to Peter Solomon? Was Robert Langdon able to release him from the kidnappers? The book is an exciting read; thriller and entertaining at the same time. Purchase the book from Amazon India at reasonable rates and get the answers of all your questions. The book will be delivered within 2-4 working days.
About the author:
Dan Brown the author of The Lost Symbol (Robert Langdon) had also written various other books like Digital Fortress, Angels & Demons and The Da Vinci Code, which has sold more than 80 million copies worldwide, making it one of the bestselling novels of all time. The book has also been adapted into a motion picture. Named one of the World's 100 Most Influential People by TIME Magazine, he has appeared in the pages of Newsweek, Forbes, People, GQ, The New Yorker and others. His novels are published in 51 languages around the world. He is a graduate of Amherst College and Phillips Exeter Academy, where he also taught English. Digital Fortress was inspired by his experiences at the academy. He lives in New England with his wife.",Horror (Books),"Crime, Thriller & Mystery",235
Rex the Dinosaur activity book Ladybird Readers Level 1,Ladybird,"Paperback,– Import, 2018",5.0,1,"Rex is a big dinosaur. He sees some small dinosaurs. They are playing. ""Can I play, too?"" asks Rex. Ladybird Readers is a graded reading series of traditional tales, popular characters, modern stories, and non-fiction, written for young learners of English as a foreign or second language. Beautifully illustrated and carefully written, the series combines the best of Ladybird content with the structured language progression that will help children develop their reading, writing, speaking, listening and critical thinking skills. The five levels of Readers and Activity Books follow the CEFR framework and include language activities that provide preparation for the Cambridge English: Young Learners (YLE) Starters, Movers and Flyers exams. Rex the Dinosaur, a Level 1 Activity Book, is Pre-A1 in the CEFR framework and supports YLE Starters exams. The activities encourage children to practice short sentences containing a maximum of two clauses, using the present tense and some simple adjectives.",Language Learning & Teaching (Books),"Language, Linguistics & Writing",137
The Indian Rennaissance: India's Rise after a Thousand Years of Decline,Sanjeev Sanyal,"Paperback,– 16 Jul 2015",4.2,38,"One thousand years ago, India was at the height of its power, influencing the world with its ideas and trade. Now, ten centuries later, India’s recent economic performance is once again attracting world attention as the country re-awakens not just as an economy but as a civilization.
In The Indian Renaissance: India’s Rise after a Thousand Years of Decline, Sanjeev Sanyal looks at the processes that led to ten centuries of decline. He also examines the powerful economic and social forces that are working together to transform India beyond recognition. These range from demographic shifts to rising literacy levels and, the most important revolution, the opening of minds and changed attitude towards innovation and risk—fundamental, if India is to take advantage of the twenty-first century.",History (Books),"Biographies, Diaries & True Accounts",243
Prisoners of the Sun (The Adventures of Tintin),Herge,"Hardcover,– 20 Jun 2003",5.0,1,"Herge's classic comic book creation Tintin is one of the most iconic characters in children's books. These highly collectible editions of the original 24 adventures will delight Tintin fans old and new. Perfect for lovers of graphic novels, mysteries and historical adventures. The world's most famous travelling reporter journeys to South America on a mission to save Professor Calculus. When Professor Calculus is kidnapped, Tintin and a desperate Captain Haddock set off to Peru on a rescue mission, braving runaway train carriages, yellow fever and avalanches. Then they must find an ancient Inca tribe if they are to find their great friend. The Adventures of Tintin are among the best books for readers aged 8 and up. Herge (Georges Remi) was born in Brussels in 1907. Over the course of 54 years he completed over 20 titles in The Adventures of Tintin series, which is now considered to be one of the greatest, if not the greatest, comics series of all time. Have you collected all 24 graphic novel adventures? Tintin in the Land of the Soviets Tintin in the Congo Tintin in America Tintin: Cigars of the Pharaoh Tintin: The Blue Lotus Tintin: The Broken Ear Tintin: The Black Island Tintin: King Ottakar's Sceptre Tintin: The Crab with the Golden Claws Tintin: The Shooting Star Tintin: The Secret of the Unicorn Tintin: Red Rackham's Treasure Tintin: The Seven Crystal Balls Tintin: Prisoners of the Sun Tintin: Land of Black Gold Tintin: Destination Moon Tintin: Explorers of the Moon Tintin: The Calculus Affair Tintin: The Red Sea Sharks Tintin in Tibet Tintin: The Castafiore Emerald Tintin: Flight 714 to Sydney The Adventures of Tintin and the Picaros Tintin and Alph-Art",Comics & Mangas (Books),Comics & Mangas,599
"The Complete Guide to Self-Publishing Comics: How to Create and Sell Comic Books, Manga, and Webcomics",Comfort Love,"Paperback,– 19 May 2015",5.0,1,"Take Control of Your Comics-Making Destiny

Creating your own comic is easier than ever before. With advances in technology, the increased connectivity of social media, and the ever-increasing popularity of the comics medium, successful
DIY comics publishing is within your reach. With The Complete Guide to Self-Publishing Comics, creators/instructors Comfort Love and Adam Withers provide a step-by-step breakdown of the comics-making process, perfect for any aspiring comics creator. This unprecedented, in-depth coverage gives you expert analysis on each step—writing, drawing, coloring, lettering, publishing,
and marketing. Along the way, luminaries in the fields of comics, manga, and webcomics—like
Mark Waid, Adam Warren, Scott Kurtz, and Jill Thompson—lend a hand, providing “Pro Tips” on essential topics for achieving your comics-making dreams. With the insights and expertise contained within these pages, you’ll have everything you need and no excuses left: It’s time to make your comics!",Writing Guides (Books),Humour,999
The Symposium (Penguin Classics),Plato,"Paperback,– 29 Apr 2003",4.0,4,"A fascinating discussion on sex, gender, and human instincts, as relevant today as ever

In the course of a lively drinking party, a group of Athenian intellectuals exchange views on eros, or desire. From their conversation emerges a series of subtle reflections on gender roles, sex in society and the sublimation of basic human instincts. The discussion culminates in a radical challenge to conventional views by Plato's mentor, Socrates, who advocates transcendence through spiritual love. The Symposium is a deft interweaving of different viewpoints and ideas about the nature of love—as a response to beauty, a cosmic force, a motive for social action and as a means of ethical education.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Essays (Books),"Language, Linguistics & Writing",239
Garfield Fat Cat 3-Pack #6,Jim Davis,"Paperback,– 22 Mar 2011",5.0,1,"American favourite cat is back with this new edition of three-in-one comic strips—containing: Garfield rounds out (#16), Garfield chews the fat (#17)and Garfield goes to waist (#together for the first time in color, super sized and value-priced!.",Humour (Books),Humour,836
The Martian,Andy Weir,"Paperback,– 3 Sep 2015",4.7,277,"Robinson Crusoe on Mars

A survival story for the 21st century and the international bestseller behind the major film from Ridley Scott starring Matt Damon and Jessica Chastain.

I’m stranded on Mars.

I have no way to communicate with Earth.

I’m in a Habitat designed to last 31 days.

If the Oxygenator breaks down, I’ll suffocate. If the Water Reclaimer breaks down, I’ll die of thirst. If the Hab breaches, I’ll just kind of explode. If none of those things happen, I’ll eventually run out of food and starve to death.

So yeah. I’m screwed.

Andy Weir's second novel Artemis is now available",Action & Adventure (Books),Action & Adventure,325.93
Radha,Leena Saldanha,"Paperback,– 1 Feb 2017",4.7,15,"No one has ever recorded the voice of Radha – one of the most powerful characters in all of chronicled history. As one half of the indivisible entity ‘RadhaKrishna’ she resonates through millions of lives every day. And yet, her songs remain unsung; her stories stay untold. Until now. This book, entitled an eponymous ‘Radha’; is a collection of 101 poems written in the voice of Radha. This book is Radha speaking to her beloved Krishna in poetry, across the ages, in an endless conversation that ebbs and flows and heaves and rests like the rhythm of a vast ocean. Sometimes she is a young girl, sometimes she is an old woman, sometimes she is petulant in her love for her Krishna, sometimes she is unflinching in her courage in letting go of her beloved Krishna. This book is an imagined conversation between 2 of the most evocative characters of all time. Her Krishna is as present in the writing as Radha is, although he never speaks a word. This is not a love story. This is the love story.",Romance (Books),Romance,214
Bay of Sighs (Guardians Trilogy),Nora Roberts,"Paperback,– 9 Aug 2017",4.2,6,"A dark and powerful goddess hunts for three jewels: fallen stars that will give her endless power. To save the world, six friends have joined forces to stop her. Now, on the beautiful island of Capri, their battle continues... Mermaid Annika is proud to have been chosen for such an important quest. But now that her identity has been revealed, her time is running out. She knows that soon she must return to her people. But, she also knows that she is in love with Sawyer King - the brave and loyal adventurer with secrets of his own. As Annika, Sawyer and their four friends hunt for the mysterious 'star of water', the goddess Nerezza sends a terrifying foe to destroy them. It seems there is no place for love and desire at such a dark time. And so Sawyer tries to protect Annika by pushing her away. But true love cannot be denied. And in a battle between the dark and the light - it might be the only thing that can save them from a terrible fate.",Contemporary Fiction (Books),Romance,299
"The Girl in the Woods (Patrik Hedstrom and Erica Falck, Book 10)",Camilla Lackberg,"Paperback,– Import, 22 Feb 2018",5.0,2,"No. 1 international bestseller and Swedish crime sensation Camilla Lackberg’s new psychological thriller featuring Detective Patrik Hedström and Erica Falck – irresistible for fans of Stieg Larsson and Jo Nesbo.
A missing child
When a four-year-old girl disappears in the woods just outside Fjällbacka, the community is horror-struck. Thirty years ago, a young girl went missing from the exact same spot, and was later discovered, murdered.
A murder
Back then, two teenage girls were found guilty of the killing. Could it really be a coincidence that one of the girls – now a world-famous actress – has just returned to Fjällbacka? Detective Patrik Hedström starts investigating, with his wife, bestselling crime writer Erica Falck, by his side.
A community torn apart
But as Patrik and Erica dig deeper, the truth becomes ever murkier, because it seems that everyone in the tight-knit community is hiding something. And soon, the residents must confront the fact that they could be harbouring a murderer in their midst…",Horror (Books),"Crime, Thriller & Mystery",293
The Book of Life: (All Souls 3),Deborah Harkness,"Paperback,– 9 Apr 2015",4.4,8,"THE NO.1 SUNDAY TIMES AND NEW YORK TIMES HARDBACK BESTSELLER
Fall under the spell of Diana and Matthew once more in the stunning climax to their epic tale, following A DISCOVERY OF WITCHES and SHADOW OF NIGHT.
A world of witches, daemons and vampires. A manuscript which holds the secrets of their past and the key to their future. Diana and Matthew - the forbidden love at the heart of it.
After travelling through time in SHADOW OF NIGHT, the second book in Deborah Harkness's enchant­ing series, historian and witch Diana Bishop and vampire scientist Matthew Clairmont return to the present to face new crises and old enemies. At Matthew's ancestral home in France they reunite with their families - with one heart-breaking exception. But the real threat to their future is yet to be revealed, and when it is, the search for the elusive manuscript Ashmole 782 and its missing pages takes on a terrifying urgency. Using ancient knowl­edge and modern science, from the palaces of Venice and beyond, Diana and Matthew will finally learn what the witches discovered so many centuries ago.",Contemporary Fiction (Books),Romance,253
